UID,Date,Level,Spread
1,02-May,13,4
1,01-May,13,5
1,30-Apr,13,5
1,29-Apr,14,4
1,28-Apr,14,4
1,27-Apr,14,4
1,26-Apr,14,7
1,25-Apr,13,21
2,02-May,11,16
2,01-May,10,5
2,30-Apr,11,6
2,29-Apr,11,9
2,28-Apr,11,8
2,27-Apr,10,4
2,26-Apr,11,7
2,25-Apr,11,8
2,24-Apr,11,7
2,23-Apr,11,5
2,22-Apr,11,7
2,21-Apr,11,9
2,20-Apr,11,4
2,19-Apr,11,6
2,18-Apr,10,8
2,17-Apr,11,7
2,16-Apr,10,6
2,15-Apr,11,8
2,14-Apr,11,7
2,13-Apr,11,9
2,12-Apr,12,6
2,11-Apr,11,7
2,10-Apr,13,7
2,09-Apr,10,7
2,08-Apr,11,7
2,07-Apr,11,8
2,06-Apr,11,13
2,05-Apr,11,5
2,04-Apr,10,7
2,03-Apr,10,5
2,02-Apr,13,8
2,01-Apr,11,6
2,31-Mar,16,10
2,30-Mar,11,8
2,29-Mar,10,6
2,28-Mar,11,5
2,27-Mar,10,5
2,26-Mar,10,7
2,25-Mar,12,9
2,24-Mar,11,7
2,23-Mar,11,9
2,22-Mar,10,7
2,21-Mar,10,10
2,20-Mar,11,8
2,19-Mar,16,9
2,18-Mar,26,15
2,17-Mar,23,13
2,16-Mar,12,9
2,15-Mar,13,15
2,14-Mar,11,7
2,13-Mar,11,7
2,12-Mar,11,6
2,11-Mar,11,8
2,10-Mar,16,9
2,09-Mar,11,8
2,08-Mar,11,6
2,07-Mar,11,5
2,06-Mar,19,9
2,05-Mar,10,8
2,04-Mar,12,7
2,03-Mar,20,13
2,02-Mar,30,17
2,01-Mar,15,10
2,28-Feb,11,5
2,27-Feb,11,9
2,26-Feb,11,4
2,25-Feb,13,10
2,24-Feb,12,8
2,23-Feb,11,9
2,22-Feb,11,7
3,02-May,17,14
3,01-May,15,7
3,30-Apr,15,19
3,29-Apr,23,19
3,28-Apr,15,15
3,27-Apr,13,20
3,26-Apr,26,13
3,25-Apr,26,13
3,24-Apr,20,11
3,23-Apr,16,12
3,22-Apr,14,19
3,21-Apr,16,22
3,20-Apr,14,25
5,02-May,18,7
5,01-May,48,10
5,30-Apr,48,11
5,29-Apr,42,7
5,28-Apr,42,7
5,27-Apr,48,10
5,26-Apr,42,7
5,25-Apr,42,7
6,02-May,12,5
6,01-May,13,4
6,30-Apr,11,5
6,29-Apr,12,3
6,28-Apr,11,5
6,27-Apr,11,4
6,26-Apr,14,17
6,25-Apr,11,9
6,24-Apr,14,10
6,23-Apr,12,5
6,22-Apr,12,5
6,21-Apr,12,12
6,20-Apr,12,6
6,19-Apr,11,4
6,18-Apr,11,4
6,17-Apr,12,7
6,16-Apr,11,4
6,15-Apr,11,4
6,14-Apr,11,5
6,13-Apr,12,4
6,12-Apr,12,5
6,11-Apr,11,5
6,10-Apr,12,13
6,09-Apr,11,4
6,08-Apr,11,4
6,07-Apr,11,3
6,06-Apr,11,3
6,05-Apr,15,10
6,04-Apr,11,13
